Player Name;Total Hands
RS411RS;16,261;
McBitter31;16,260;
fedess90;16,260;
atomicka94;16,158;
AGUJOKER777;16,145;
unics;16,133;
juampamader;16,126;
Rizental;16,123;
DimaNhtr;16,071;
BlackhawKK's;16,063;
r_lucena77;16,058;
Peruano1989;16,048;
Volkoff_V_A;16,023;
JefersonL69;16,022;
Pechorin.G;15,973;
Frederehh;15,962;
sotistsoglan;15,957;
CMESSAA;15,951;
EGX01;15,941;
tintin641;15,899;
Skeleton1007;15,887;
corka1979;15,822;
godeken1996;15,817;
lucima10;15,807;
Grab_mbytheP;15,762;
ULISSES 222;15,748;
Verm323;15,729;
DRAGOS FCSB;15,703;
serge87100;15,684;
eliasfleitas;15,680;
Enoeer;15,677;
SergeVDB10;15,661;
IquiBalam;15,631;
@Cleisson09;15,628;
juanrod39;15,625;
JonathaN ala;15,621;
Zeppelin8686;15,608;
xXxThEBeSTxXx;15,608;
vasquezbeats;15,584;
guelek;15,570;
Elviskochito;15,559;
Lis0ff;15,556;
Lucas_elrey;15,529;
dede loki;15,506;
nigelgou;15,461;
JGatte;15,456;
Lion_Hear787;15,443;
plusovich;15,410;
rosbel_poker;15,397;
NAZARI032;15,379;
Dzmitry_Zhurau;15,377;
donkeypoddle;15,284;
Zaqaa;15,278;
Simargl1;15,264;
Janos021;15,259;
r3mo87;15,258;
BRAVEBLACK;15,248;
JBriddon17;15,204;
Kovchyk_V;15,186;
marcin116;15,182;
PitBooLIK;15,181;
Sergey040171;15,169;
Avdoshko82;15,117;
stoik83;15,112;
evgenii9292;15,102;
87pinardi;15,094;
tony montana 22;15,077;
jaymacca13;15,076;
Yarecky;15,073;
lvaku;15,068;
AlexXGood;15,050;
Don Cesar 10;14,995;
Plotnuy C.K.;14,988;
QuentinAA24;14,988;
debankole!;14,962;
NickSolo96;14,961;
supernova1874;14,945;
Uug@@*B;14,936;
h@mmeleon;14,933;
0Karmacoma0;14,917;
Jake7123;14,907;
Do Amish Know?;14,892;
cachirulo244;14,887;
kompanij;14,879;
bohdanovitch;14,877;
nico1nied;14,851;
catmarjoe;14,848;
iMakeWow;14,827;
Yurgentus;14,827;
LALOLANDAUY;14,822;
Zordsz;14,797;
azimazi;14,783;
andersmenx;14,783;
_$88Julienlim$_;14,779;
Olsson;14,776;
Gaor47;14,746;
gravitzapa1;14,730;
vintiro;14,726;
mr.Jckpot;14,711;
mdx90;14,705;
Lion-RJ;14,701;
WinsorBg;14,690;
Dessertik;14,664;
kksoba;14,645;
Carlosedu880;14,638;
Sasha DSK;14,602;
Mac_wlady;14,573;
vanefioAA;14,559;
spider568;14,557;
AkhenatonARG;14,545;
1Lish;14,515;
christian11d;14,512;
Yoalfre;14,492;
PaxOk;14,453;
gigabyte1990;14,451;
EL Lokkko;14,449;
oo1111oo;14,440;
Fisch & Fang;14,429;
Reddington890;14,425;
LigoL;14,420;
mauy24;14,402;
gelopoly;14,393;
Ger Cortes;14,361;
Nasdaq880;14,353;
vamkonix;14,344;
marcosarglio;14,335;
breizerrrr;14,325;
BFG1000k;14,321;
wellingtonjn;14,303;
7carlison7;14,280;
RikiMillon;14,275;
ZÃ¯nn;14,265;
tzintzun23;14,253;
ashton07;14,239;
Pokerfox68;14,234;
eloy garcia23;14,223;
Azikk555;14,219;
CrazyyParis;14,210;
4eis;14,179;
den S187;14,178;
mancuello10;14,167;
Ups I Do It;14,158;
tugushi;14,134;
SUKKER882;14,120;
DamianWinner;14,111;
Pikdee;14,108;
777KIÂ®ILL777;14,020;
superRODRI;13,991;
Alf pacino;13,986;
eltony772;13,972;
pashikBL;13,965;
ahamiyatsiz;13,956;
JWOLF4;13,951;
tomika0509;13,946;
gikserrr;13,925;
A|3X1S;13,924;
NightmareBV24;13,909;
haraldw89;13,909;
soyosolo;13,899;
Deluxuriuz;13,891;
thegreato793;13,875;
Tragladit987;13,864;
dnegs1987;13,850;
fatkinglouie;13,821;
MrKaidan;13,802;
Intakk;13,781;
Danielw8888;13,767;
Arnik1994;13,724;
Numendil;13,714;
KKILLER24;13,708;
BeNicEBoB;13,684;
dede1704;13,661;
marvei7;13,621;
xxxZeka;13,597;
RadRazorRyan;13,587;
kkikkss;13,586;
zleep0;13,561;
TimAbr;13,553;
NICO070720;13,542;
runya80;13,540;
jhoelpatan;13,535;
DenyLi;13,527;
Dexterminador;13,520;
facu.ghelfi;13,517;
Shakma1982;13,502;
Fc_Casgo;13,497;
SappoCego;13,487;
i<3umoney;13,483;
npAaL;13,468;
maroma1991;13,465;
2xgomelx;13,450;
Barcho_A;13,447;
SKAlmaty_86;13,437;
Torchidze;13,436;
JaacktheDog;13,431;
Jim Hopens;13,431;
TRIBird;13,423;
crussty;13,404;
ollithetitan;13,403;
777pvo777;13,398;
ZhouJinLi;13,382;
Garry Round;13,382;
kostik809;13,368;
StrikerCriollo;13,365;
Chen311086;13,354;
NatureVince;13,347;
BumbrlÃ­nek;13,340;
Diegolpda;13,335;
TheSecretCB;13,330;
papcmoi;13,305;
hwk515;13,290;
KentuckySads;13,259;
28fm;13,259;
aricast19;13,258;
serj.zp;13,258;
thatrumen;13,242;
impresis;13,238;
CL.AFerreira;13,231;
HolyDvl;13,227;
LeConner;13,219;
pokorio84;13,199;
losstime;13,198;
MatÃ­as123;13,191;
DJ josue 10;13,182;
Agro97;13,179;
Manfredo835;13,161;
auxy89;13,150;
zolotajPbIBA;13,133;
banu gabriel;13,116;
vcf2013;13,093;
Elrus90;13,093;
gudrozd;13,090;
casipokerr;13,078;
vemnimim77;13,072;
SuperMasha1;13,057;
bitterdream;13,051;
_PJB_;13,040;
kryspin33r;13,035;
Carpincho77;13,017;
z00mba;13,013;
HarriSeldon;13,003;
NESTORG77;12,987;
NZguy07;12,985;
ardent_dream;12,972;
dora1st;12,965;
belgas33;12,955;
N.K.T.E.01;12,947;
Rosachg;12,939;
WendrinerAladar;12,937;
Hansiboy88;12,933;
Tony_AGS;12,932;
LagutikAV;12,929;
cadaver123456;12,918;
LittleKonred;12,876;
Pijan1806;12,843;
salamandryko;12,841;
lauti214;12,841;
Heaton#RISES;12,839;
ZaRyaD_1;12,827;
TehPokeHerer;12,815;
ginkgabeloba;12,808;
vadimstryha;12,804;
heino03;12,799;
Muszkli299;12,796;
nekro211986;12,795;
blistein;12,775;
Volodya1110;12,762;
jacasu;12,759;
gosutitts;12,754;
Marcin7878;12,741;
mironchikvld;12,731;
stillrapping;12,730;
l1nker333;12,728;
mikee776;12,706;
puchy98;12,705;
malshot;12,705;
GENJD;12,677;
bliznec77777;12,671;
jetts181;12,650;
tough nut777;12,644;
gionni228;12,637;
Aveena2;12,629;
mateuschwarz;12,624;
Andrewkrx;12,605;
Alex366296;12,586;
DysonHeatpum;12,580;
Desmond Lan;12,576;
SolubleSalts;12,562;
Realdreamer555;12,535;
cherbiy;12,533;
1_upu1_eAc;12,527;
I CRNG I;12,526;
vedouzas14;12,525;
dragan0w;12,524;
kabinnet;12,518;
Dead_ClauSS;12,514;
Runii19;12,498;
Calabazaking;12,497;
reesst;12,497;
ValerkaO_o;12,474;
VilpPS;12,470;
Masashi886;12,433;
DR. GREGORI;12,426;
casseta24;12,419;
Nazareno1999;12,416;
Mariokopite;12,412;
vartl;12,411;
G3nio;12,408;
valery1234567;12,408;
Presly79;12,381;
od_kredo;12,380;
hesperus132;12,354;
NicoW167;12,353;
dudoedldu;12,330;
daffiote;12,298;
DONITA60;12,287;
AAAcostA;12,281;
moremoney35;12,272;
ULEB;12,265;
FunkyGibbon2;12,261;
jawsen;12,258;
iagoa.reis;12,257;
wlad198;12,248;
LoLeBanny;12,231;
niderlander;12,228;
unaerob;12,225;
praxis321;12,215;
Monsiii26;12,202;
Tub1610;12,190;
Antonio66scl;12,184;
mayoma13;12,160;
nanoobolsoo;12,158;
Nastos1991;12,130;
arezo69;12,129;
GaahFlaviio;12,119;
juampa945;12,115;
juancho26;12,111;
ZinePablo;12,108;
Qu1r1c0ch0;12,098;
tautzik;12,065;
X-Mttz;12,058;
Cherevan' A;12,056;
Slavik Mas;12,046;
Evgeniy25;12,035;
Den Reed;12,034;
Lumbojack;12,020;
Snukeris147;12,019;
SamOdin75;12,013;
mastyano85;11,996;
MigelBlandt;11,992;
Phil_BlowUp;11,982;
elpepew4;11,977;
ABKrez9;11,974;
taurusvit;11,974;
skybear;11,974;
GringoSC800;11,970;
azall;11,958;
muckJoader;11,948;
Kyka2222;11,924;
vbnote;11,913;
nanito1107;11,903;
roronoa7777;11,876;
elmquist;11,874;
Boquense19;11,871;
Ann1mal;11,860;
MAYOM2.0;11,852;
lonsomgeorg;11,847;
father here;11,845;
asp7e;11,839;
Superpro1982;11,839;
Alexkills91;11,819;
Billyoio;11,814;
MoneyBall100;11,806;
gadew13;11,798;
Senjin_S;11,794;
caclat;11,789;
loveoscarson;11,788;
rawmechanic;11,771;
benjr1612;11,744;
SIRDJMILHAUS;11,744;
Charlie C646;11,742;
GabOo175;11,740;
facuu19;11,739;
jpmc6767;11,736;
manugar91;11,721;
Dealergao7;11,703;
NikitskiAn;11,694;
Juanji5418;11,665;
zoot62;11,657;
Senatorâ€¢Andy;11,657;
dearriba23;11,642;
alisono2;11,587;
nvrbrokeagain;11,583;
Pablo-Veron;11,582;
infiniti888;11,571;
Chuyto70;11,566;
Bellrofont;11,556;
DiegoZepedaB;11,556;
FontvelloUK;11,522;
DAVIDOFF351;11,522;
Kevboni9;11,518;
ChillHigh;11,513;
RoofY44;11,512;
Jon_Neves;11,493;
PINENINE;11,491;
xdominicx46;11,487;
ojeriza;11,480;
Jo_jpp;11,471;
Damian36215;11,470;
IronIvey;11,460;
Poker Jerrybear;11,451;
Vvendetta696;11,446;
vovabeda;11,445;
diddyxzor;11,434;
rjcfaria;11,417;
kkmailliwkk;11,398;
LuckyDanT;11,386;
Rinwers;11,384;
vassili_10;11,383;
rochinha55;11,372;
weeberi;11,369;
Daniil3830;11,361;
Peter47630;11,359;
0GL0;11,354;
karimboAA;11,353;
Enderdr4g0n;11,352;
husky9999;11,350;
drianoher;11,346;
mVs0n;11,335;
Kira41290;11,334;
Chiarelli99;11,326;
kurkovks81;11,321;
Gregory_Miha;11,299;
mag111115;11,286;
alejo311099;11,278;
zacoz;11,270;
cl_auToLuck.1;11,261;
WizluckI3;11,257;
AntonioNose;11,254;
killingfis;11,250;
iMarriedMyFish;11,223;
kidpokerthai;11,213;
Lalofranjeado;11,203;
1chieftain;11,173;
crais111;11,169;
quinny1977;11,156;
elleon2016;11,155;
ZaffordB;11,154;
edaune17;11,149;
Casio659;11,146;
Sasha Kadr;11,142;
donkeykonggo;11,128;
Saint_ANBU;11,127;
BumHuntKing;11,112;
Jooooosef;11,075;
cHoMpiRas96;11,073;
Myatnyj_Zayats;11,065;
mamaMarilyn;11,054;
YoungSachi;11,053;
nachoton;11,048;
3squinaz0;11,042;
killervzla28;11,031;
fenixarrow;11,024;
zNoTBaD;11,002;
RjMurillo;11,000;
Nagyla;10,990;
Alpha$tunZ;10,983;
DanteDenisAA;10,979;
IRiverBluff;10,965;
Castesso;10,962;
Andrake11;10,958;
Pyrosouroboros;10,957;
matrogen;10,956;
Francescma;10,947;
Fedezun;10,919;
stef.domi;10,918;
ingvar333;10,915;
DbzBhz;10,915;
bonanno31;10,907;
AMN1986;10,904;
Branech;10,900;
HWS77;10,886;
PlayerZs;10,885;
0Sergunchik;10,876;
RonilsonCosta;10,863;
ThunderArmor_v2;10,861;
IgnacioPk;10,859;
poker_soul11;10,852;
dandxd;10,845;
Jamie'Ivey';10,832;
scarcellafer;10,827;
mariofcd;10,823;
sltn;10,823;
lenincito21;10,820;
Yaruk7;10,802;
sevenways;10,790;
A.Platonov92;10,790;
kiklopomo;10,779;
turbopawn;10,776;
amorzk;10,769;
4KingAce86;10,746;
gambit198900;10,746;
3EBC96;10,744;
pashanv8686;10,739;
nikcat7;10,739;
franze92;10,719;
ArcticBearDK;10,718;
adesperado77;10,714;
PJhaoli;10,711;
Evgeny701;10,706;
CichiChanMarian;10,705;
Andy Oldani;10,701;
Lionnn7;10,699;
monchesco;10,696;
BigSlickLica;10,694;
m4rc4;10,682;
sen@kin;10,678;
ton9727;10,672;
matejb95;10,672;
FNSflush;10,670;
dogsdontcry;10,665;
9opium9;10,665;
Gohvat;10,659;
cachu2013;10,633;
Rjcnzz;10,613;
ice-pasha;10,587;
fuzinger;10,577;
Rulo180;10,575;
choutyatam;10,541;
crist_89870;10,541;
mesqueun;10,534;
Sir.turkin;10,519;
Hamilton_TD;10,496;
escaflom;10,492;
Ph@ntomkpz;10,490;
ishdk;10,490;
plisianin;10,463;
Prigaty;10,462;
JasonMerccie;10,445;
wxtoxic;10,443;
KRSSVSK;10,440;
mrjapa1000;10,434;
Batumbaman;10,414;
mchendrix86;10,413;
Maxim_Otto13;10,400;
dimafish92;10,391;
mangalisa;10,391;
Xtintion;10,391;
xelap;10,380;
Gamz11;10,378;
QUE-SE-FUNDA;10,373;
lord_sergij;10,362;
komar142000;10,358;
Durabo;10,356;
SL1GO;10,352;
Bo.Susik;10,344;
chamitarg;10,292;
aurefran;10,287;
tema4qa;10,285;
Whoisagooodgirl;10,282;
AxCent8;10,281;
Rachette147;10,280;
Jelieva;10,279;
NRGlucky;10,276;
Pumiitaa;10,259;
Devill LyoN;10,259;
RankaisijaXD;10,254;
alemiliki;10,250;
victorffc;10,247;
renzon10;10,243;
gonza.maiti;10,239;
MrMaxxxxxxxxxx;10,221;
xxsimmel;10,221;
shovetoi;10,212;
cetbyn;10,210;
matu3007;10,203;
OyeChicoTL;10,181;
shanson218;10,168;
orbcrazyk;10,168;
IrbySS;10,163;
DevilFish1976;10,163;
Raul1974105;10,159;
BlaZy7;10,155;
dimakryt1;10,155;
G-Town49;10,151;
frolovtriada;10,116;
MrYorick;10,112;
Stallone911;10,111;
andgama;10,101;
B4riloche;10,093;
ak97b;10,078;
Quantum771;10,068;
Gmspades7;10,064;
josecapela32;10,059;
fire9372;10,057;
GUXXIER;10,055;
tab1988242;10,053;
Leonel cz;10,040;
LeMiguelo;10,038;
Chino A90;10,036;
kazu1821;10,018;
KrisDavison;10,006;
